freq_range,freq_range_mhz,freq_unit,itu_intl_region1_2_services,itu_intl_footnotes,itu_region3_services,usa_federal_services,usa_federal_footnotes,usa_nonfederal_services,usa_nonfederal_footnotes,typical_devices_applications,note
285-315,0.2850-0.3150,kHz,AERONAUTICAL RADIONAVIGATION | MARITIME RADIONAVIGATION (radiobeacons) 5.73,,,MARITIME RADIONAVIGATION (radiobeacons) 5.73 | Aeronautical radionavigation (radiobeacons),US2 US18 US364,,,"GPS receivers, GNSS devices; ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
315-325,0.3150-0.3250,kHz,MARITIME RADIONAVIGATION | (radiobeacons) 5.73 | Aeronautical radionavigation,,AERONAUTICAL RADIONAVIGATION | MARITIME RADIONAVIGATION | (radiobeacons) 5.73,,,,,"GPS receivers, GNSS devices; ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
322-328.6,0.3220-0.3286,kHz,FIXED | MOBILE,US342 G27,,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
325-335,0.3250-0.3350,kHz,AERONAUTICAL RADIONAVIGATION | Aeronautical mobile | Maritime radionavigation (radiobeacons),,AERONAUTICAL RADIONAVIGATION | Aeronautical mobile,AERONAUTICAL RADIONAVIGATION (radiobeacons) | Aeronautical mobile | Maritime radionavigation (radiobeacons),US2 US18,,,"GPS receivers, GNSS devices; Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
328.6-335.4,0.3286-0.3354,kHz,AERONAUTICAL RADIONAVIGATION 5.258,,,,,,,"ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
335-405,0.3350-0.4050,kHz,AERONAUTICAL RADIONAVIGATION | Aeronautical mobile,,,AERONAUTICAL RADIONAVIGATION (radiobeacons) US18 | Aeronautical mobile,US2,,,"Mobile phones, cellular base stations (2G/3G/4G/5G); ILS, VOR, DME, TACAN, instrument landing systems",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
335.4-399.9,0.3354-0.3999,kHz,FIXED | MOBILE,G27 G100,,,,,,"Point-to-point microwave links, satellite earth stations; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
399.9-400.05,0.3999-0.4001,kHz,MOBILE-SATELLITE (Earth-to-space) US319 US320 | RADIONAVIGATION-SATELLITE,,,,,,,"GPS receivers, GNSS devices; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
400.05-400.15,0.4001-0.4001,kHz,STANDARD FREQUENCY AND TIME SIGNAL-SATELLITE (400.1 MHz),5.261,,,,,,"Atomic clocks, time receivers (DCF77, WWVB)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
400.15-401,0.4001-0.4010,kHz,,,,METEOROLOGICAL AIDS | (radiosonde) US70 | METEOROLOGICAL-SATELLITE | (space-to-Earth) | MOBILE-SATELLITE (space-to- | Earth) US319 US320 US324 | SPACE RESEARCH | (space-to-Earth) 5.263 | Space operation (space-to-Earth),5.264,METEOROLOGICAL AIDS | (radiosonde) US70 | MOBILE-SATELLITE (space-to- | Earth) US319 US320 US324 | SPACE RESEARCH | (space-to-Earth) 5.263 | Space operation (space-to-Earth),5.264,"Satellite phones, VSAT terminals, satellite internet; Mobile phones, cellular base stations (2G/3G/4G/5G); Deep space probes, scientific satellites; Radiosondes, weather balloons",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
401-402,0.4010-0.4020,kHz,,,,METEOROLOGICAL AIDS | (radiosonde) US70 | SPACE OPERATION | (space-to-Earth) | EARTH EXPLORATION- | SATELLITE (Earth-to-space) | METEOROLOGICAL-SATELLITE | (Earth-to-space),US64 US384,METEOROLOGICAL AIDS | (radiosonde) US70 | SPACE OPERATION | (space-to-Earth) | Earth exploration-satellite | (Earth-to-space) | Meteorological-satellite | (Earth-to-space),US64 US384,"Satellite phones, VSAT terminals, satellite internet; Radiosondes, weather balloons",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
402-403,0.4020-0.4030,kHz,,,,METEOROLOGICAL AIDS | (radiosonde) US70 | EARTH EXPLORATION- | SATELLITE (Earth-to-space) | METEOROLOGICAL-SATELLITE | (Earth-to-space),US64 US384,METEOROLOGICAL AIDS | (radiosonde) US70 | Earth exploration-satellite | (Earth-to-space) | Meteorological-satellite | (Earth-to-space),US64 US384,"Satellite phones, VSAT terminals, satellite internet; Radiosondes, weather balloons",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
403-406,0.4030-0.4060,kHz,,,,METEOROLOGICAL AIDS | (radiosonde) US70,US64 G6,METEOROLOGICAL AIDS | (radiosonde) US70,US64,"Radiosondes, weather balloons",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
405-415,0.4050-0.4150,kHz,RADIONAVIGATION 5.76 | Aeronautical mobile,,,RADIONAVIGATION 5.76 US18 | Aeronautical mobile,US2,,,"GPS receivers, GNSS devices; Mobile phones, cellular base stations (2G/3G/4G/5G)",EU/Europe follows ITU Region 1 (largely identical to Region 1/2 primary services shown). Source: FCC 47 CFR 2.106 / ITU Radio Regulations 2016
